;Unnamed: 0;CLIENTNUM;Total_Trans_Amt;Total_Amt_Chng_Q4_Q1;Total_Ct_Chng_Q4_Q1;Total_Trans_Ct;Total_Revolving_Bal;Attrition_Flag
0;0;768805383;1144;1.335;1.625;42;777;0
1;1;818770008;1291;1.541;3.714;33;864;0
2;2;713982108;1887;2.594;2.333;20;0;0
3;3;769911858;1171;1.405;2.333;20;2517;0
4;4;709106358;816;2.175;2.5;28;0;0
5;5;713061558;1088;1.376;0.846;24;1247;0
6;6;810347208;1330;1.975;0.722;31;2264;0
7;7;818906208;1538;2.204;0.714;36;1396;0
8;8;710930508;1350;3.355;1.182;24;2517;0
9;9;719661558;1441;1.524;0.882;32;1677;0
10;10;708790833;1201;0.831;0.68;42;1467;0
11;11;710821833;1314;1.433;1.364;26;1587;0
12;12;710599683;1539;3.397;3.25;17;0;0
13;13;816082233;1311;1.163;2.0;33;1666;0
14;14;712396908;1570;1.19;0.611;29;680;0
15;15;714885258;1348;1.707;1.7;27;972;0
16;16;709967358;1671;1.708;0.929;27;2362;0
17;17;753327333;1028;0.653;1.625;21;1291;0
18;18;806160108;1336;1.831;1.143;30;2517;0
19;19;709327383;1207;0.966;0.909;21;1157;0
20;20;806165208;1178;0.906;0.929;27;1800;0
21;21;708508758;692;1.047;0.6;16;0;1
22;22;784725333;931;1.608;1.571;18;680;0
23;23;811604133;1126;0.573;0.353;23;1560;0
24;24;789124683;1110;1.075;0.75;21;0;0
25;25;771071958;1051;0.797;0.833;22;1669;0
26;26;720466383;1197;0.921;1.3;23;1374;0
27;27;804424383;1904;0.843;1.0;40;1010;0
28;28;718813833;1052;0.525;1.571;18;0;0
29;29;806624208;1045;0.739;0.9;38;1362;0
30;30;778348233;1038;0.977;2.571;25;1811;0
31;31;712991808;1596;1.323;1.6;26;1690;0
32;32;709029408;1589;1.726;1.667;24;2517;0
33;33;788658483;1411;1.75;1.0;28;1490;0
34;34;787937058;1291;0.519;0.714;24;1696;0
35;35;715318008;1407;0.51;0.483;43;1914;0
36;36;713962233;1877;1.724;1.176;37;2298;0
37;37;785432733;966;0.865;1.2;22;0;0
38;38;715190283;1464;1.32;0.556;28;886;0
39;39;708300483;704;1.052;0.143;16;605;1
40;40;827111283;1109;1.042;0.474;28;578;0
41;41;758551608;1347;0.803;0.556;28;2204;0
42;42;773146383;1756;1.449;1.2;33;2517;0
43;43;778493808;1756;1.214;1.0;32;0;0
44;44;720572508;1042;0.977;0.917;23;2055;0
45;45;712661433;1444;1.621;1.333;28;0;0
46;46;789172683;1741;2.316;0.588;27;1430;0
47;47;738406533;1719;2.357;1.7;27;2020;0
48;48;799723908;1217;0.787;0.8;27;1435;0
49;49;771490833;1140;0.624;0.6;40;1227;0
50;50;720756708;1878;1.321;1.143;30;1549;0
51;51;779471883;705;0.997;0.9;19;808;1
52;52;711525033;1946;1.224;1.923;38;2179;0
53;53;712813458;1414;0.664;0.25;35;2517;0
54;54;714374133;602;1.041;0.364;15;0;1
55;55;717891558;1052;0.678;0.6;32;2200;0
56;56;716632758;1295;0.75;0.6;40;2363;0
57;57;768563658;1424;1.107;1.417;29;1880;0
58;58;711427458;1359;2.275;1.083;25;978;0
59;59;714091983;1168;0.69;1.25;27;1753;0
60;60;787584108;1097;0.901;0.833;33;2016;0
61;61;712030833;691;0.763;0.5;15;0;1
62;62;711481533;1316;0.944;1.154;28;1251;0
63;63;710082708;1276;0.997;0.733;26;2102;0
64;64;708155733;1289;0.989;0.917;23;1634;0
65;65;788979258;1293;0.592;0.6;32;1515;0
66;66;807986133;1353;0.62;0.667;35;1817;0
67;67;788730933;1132;1.004;0.556;28;1468;0
68;68;711314058;1670;1.715;2.4;17;1107;0
69;69;717975333;837;1.072;2.0;15;1330;0
70;70;715971108;1550;1.266;1.05;41;1763;0
71;71;720096558;1540;0.758;0.286;36;1034;0
72;72;719580033;1256;0.769;0.4;21;2030;0
73;73;820582308;1394;0.414;0.522;35;1528;0
74;74;789973308;1341;1.312;1.182;24;1932;0
75;75;712876233;1289;0.857;0.435;33;1515;0
76;76;804595158;1112;0.475;1.875;23;2517;0
77;77;714826758;2339;0.751;0.966;57;1801;0
78;78;779058108;1468;0.703;0.353;23;1823;0
79;79;710790258;1334;0.85;0.4;35;1899;0
80;80;715623483;1457;1.242;1.412;41;1695;0
81;81;715156383;1603;0.924;0.526;29;1533;0
82;82;711013983;615;0.585;0.714;12;0;1
83;83;755420433;1068;0.383;0.818;20;1417;0
84;84;794543958;1590;1.129;2.0;27;1219;0
85;85;716396358;1531;0.921;0.667;35;1910;0
86;86;715398033;1212;0.607;0.722;31;2056;0
87;87;711743883;1237;0.483;0.6;32;0;0
88;88;719720058;1413;1.932;1.8;14;837;0
89;89;778992108;1516;1.702;1.636;29;0;0
90;90;717539808;1276;0.731;1.333;21;0;0
91;91;714070758;1564;0.875;2.182;35;1953;0
92;92;714107958;1465;0.579;0.619;34;0;0
93;93;789140283;1286;0.85;0.933;29;2037;0
94;94;715550508;1312;1.705;1.222;20;2440;0
95;95;719712633;1673;1.656;0.882;32;895;0
96;96;772629333;1313;0.597;0.304;30;1200;0
97;97;720336708;1609;1.047;0.68;42;1706;0
